5;5138;5138039;ANTIOQUIA;CAÑASGORDAS;LA QUIEBRA
5;5197;5197060;ANTIOQUIA;COCORNÁ;MAZOTES
5;5197;5197044;ANTIOQUIA;COCORNÁ;LA PLACETA
5;5197;5197072;ANTIOQUIA;COCORNÁ;SAN VICENTE
5;5197;5197028;ANTIOQUIA;COCORNÁ;EL TESORO
5;5190;5190008;ANTIOQUIA;CISNEROS;EL LIMON
5;5197;5197010;ANTIOQUIA;COCORNÁ;CRUCES
5;5142;5142005;ANTIOQUIA;CARACOLÍ;EL 62
5;5142;5142001;ANTIOQUIA;CARACOLÍ;BOTIJAS
5;5138;5138032;ANTIOQUIA;CAÑASGORDAS;LA CURVA
5;5138;5138027;ANTIOQUIA;CAÑASGORDAS;LA AGUADA
5;5138;5138053;ANTIOQUIA;CAÑASGORDAS;SAN LUIS
5;5138;5138055;ANTIOQUIA;CAÑASGORDAS;SAN MIGUEL
5;5138;5138059;ANTIOQUIA;CAÑASGORDAS;SANTO DOMINGO
5;5138;5138011;ANTIOQUIA;CAÑASGORDAS;CHUPADERO
5;5147;5147011;ANTIOQUIA;CAREPA;CHIRIDO
5;5147;5147026;ANTIOQUIA;CAREPA;PIEDRAS BLANCAS
5;5147;5147027;ANTIOQUIA;CAREPA;POLINES SAN SEBASTIAN
5;5147;5147032;ANTIOQUIA;CAREPA;ZUNGO EMBARCADERO
5;5147;5147017;ANTIOQUIA;CAREPA;LA CADENA
5;5148;5148032;ANTIOQUIA;CARMEN DE VIBORAL;LA HONDA
5;5148;5148053;ANTIOQUIA;CARMEN DE VIBORAL;SANTO DOMINGO
5;5148;5148052;ANTIOQUIA;CARMEN DE VIBORAL;SANTA RITA
5;5148;5148019;ANTIOQUIA;CARMEN DE VIBORAL;EL PORVENIR
5;5148;5148029;ANTIOQUIA;CARMEN DE VIBORAL;LA CRISTALINA
5;5148;5148016;ANTIOQUIA;CARMEN DE VIBORAL;EL COCUYO
5;5148;5148027;ANTIOQUIA;CARMEN DE VIBORAL;LA CASCADA
5;5148;5148038;ANTIOQUIA;CARMEN DE VIBORAL;LA REPRESA
5;5148;5148036;ANTIOQUIA;CARMEN DE VIBORAL;LA PALIZADA
5;5148;5148033;ANTIOQUIA;CARMEN DE VIBORAL;LA LINDA
5;5147;5147020;ANTIOQUIA;CAREPA;LA UNION
5;5147;5147018;ANTIOQUIA;CAREPA;LA CRISTALINA
5;5147;5147002;ANTIOQUIA;CAREPA;BELENCITO
5;5147;5147024;ANTIOQUIA;CAREPA;MIRAMAR
5;5150;5150002;ANTIOQUIA;CAROLINA;LA CAMELIA
5;5150;5150005;ANTIOQUIA;CAROLINA;LA VEGA
5;5150;5150004;ANTIOQUIA;CAROLINA;LA HERRADURA
5;5154;5154008;ANTIOQUIA;CAUCASIA;EL KILOMETRO 18
5;5154;5154012;ANTIOQUIA;CAUCASIA;EL TIGRE
5;5154;5154016;ANTIOQUIA;CAUCASIA;EL TORO
5;5154;5154017;ANTIOQUIA;CAUCASIA;GUATINAJO
5;5154;5154032;ANTIOQUIA;CAUCASIA;LAS MALVINAS
5;5154;5154035;ANTIOQUIA;CAUCASIA;LOS MANGOS
5;5154;5154023;ANTIOQUIA;CAUCASIA;LA ESCUELA
5;5154;5154026;ANTIOQUIA;CAUCASIA;LA GLORIA
5;5154;5154018;ANTIOQUIA;CAUCASIA;JAGUA ARRIBA
5;5154;5154020;ANTIOQUIA;CAUCASIA;LA CASETA
5;5154;5154007;ANTIOQUIA;CAUCASIA;EL DESCANSO
5;5154;5154025;ANTIOQUIA;CAUCASIA;LA GARRAPATA
5;5154;5154014;ANTIOQUIA;CAUCASIA;EL TIGRE 1
5;5154;5154029;ANTIOQUIA;CAUCASIA;LA RAYA
5;5125;5125014;ANTIOQUIA;CAICEDO;LA SALAZAR
5;5129;5129001;ANTIOQUIA;CALDAS;CARDALITO
5;5129;5129016;ANTIOQUIA;CALDAS;SINIFANÁ
5;5129;5129002;ANTIOQUIA;CALDAS;EL 60
5;5107;5107013;ANTIOQUIA;BRICEÑO;EL RESPALDO
5;5125;5125011;ANTIOQUIA;CAICEDO;LA GARCIA
5;5125;5125007;ANTIOQUIA;CAICEDO;EL PLAYON
5;5125;5125004;ANTIOQUIA;CAICEDO;CHOCHAL
5;5113;5113019;ANTIOQUIA;BURITICÁ;LA VEGA
5;5113;5113034;ANTIOQUIA;BURITICÁ;SOPETRANSITO
5;5113;5113020;ANTIOQUIA;BURITICÁ;LAS BRISAS
5;5113;5113013;ANTIOQUIA;BURITICÁ;GUADUAL
5;5113;5113021;ANTIOQUIA;BURITICÁ;LAS CUATRO
5;5113;5113030;ANTIOQUIA;BURITICÁ;PALENQUE
5;5107;5107028;ANTIOQUIA;BRICEÑO;MORRON
5;5107;5107031;ANTIOQUIA;BRICEÑO;PALMICHAL
5;5107;5107015;ANTIOQUIA;BRICEÑO;GURIMAN
5;5107;5107014;ANTIOQUIA;BRICEÑO;EL ROBLAL
5;5125;5125006;ANTIOQUIA;CAICEDO;EL HATO
5;5125;5125005;ANTIOQUIA;CAICEDO;EL ENCANTO
5;5125;5125015;ANTIOQUIA;CAICEDO;LA SOLEDAD
5;5107;5107033;ANTIOQUIA;BRICEÑO;SAN EPIFANIO
5;5107;5107008;ANTIOQUIA;BRICEÑO;EL CEDRAL
5;5113;5113009;ANTIOQUIA;BURITICÁ;EL CIENTO
5;5113;5113010;ANTIOQUIA;BURITICÁ;EL LEON
5;5113;5113022;ANTIOQUIA;BURITICÁ;LLANO CHIQUITO
5;5113;5113031;ANTIOQUIA;BURITICÁ;SANTA TERESA
5;5113;5113007;ANTIOQUIA;BURITICÁ;COSTAS
5;5113;5113005;ANTIOQUIA;BURITICÁ;CHUNCHUNCO
5;5113;5113033;ANTIOQUIA;BURITICÁ;SINCIERCO
5;5113;5113008;ANTIOQUIA;BURITICÁ;DE GUARCO
5;5113;5113029;ANTIOQUIA;BURITICÁ;PAJARITO
5;5113;5113026;ANTIOQUIA;BURITICÁ;LOS ASIENTOS
